,label_column,label_value,count_samples_in_group,percentage_above_min_value,group
0,TP,1,34872,0.0,NON-OUTLIER
6867,FA,4002860,2,0.0,NON-OUTLIER
6889,FA,4003814,2,0.0,NON-OUTLIER
6890,FA,4002195,2,0.0,NON-OUTLIER
6891,FA,4001657,2,0.0,NON-OUTLIER
6892,FA,4003788,1,0.0,NON-OUTLIER
6893,FA,4003986,6,0.0,NON-OUTLIER
6894,FA,4003736,4,0.0,NON-OUTLIER
6895,FA,4003444,1,0.0,NON-OUTLIER
6896,FA,4002912,1,0.0,NON-OUTLIER
6897,FA,4001847,5,0.0,NON-OUTLIER
6898,FA,4003675,2,0.0,NON-OUTLIER
6899,FA,4000866,3,0.0,NON-OUTLIER
6900,FA,4001144,5,0.0,NON-OUTLIER
6901,FA,4002785,1,0.0,NON-OUTLIER
6902,FA,4001335,2,0.0,NON-OUTLIER
6903,FA,4001032,4,0.0,NON-OUTLIER
6904,FA,4003457,4,0.0,NON-OUTLIER
6905,FA,4001637,14,0.0,NON-OUTLIER
6888,FA,4002184,2,0.0,NON-OUTLIER
6887,FA,4001927,4,0.0,NON-OUTLIER
6886,FA,4002087,4,0.0,NON-OUTLIER
6876,FA,4003802,7,0.0,NON-OUTLIER
6869,FA,4002055,7,0.0,NON-OUTLIER
6870,FA,4003280,3,0.0,NON-OUTLIER
6871,FA,4003794,2,0.0,NON-OUTLIER
6872,FA,4003896,2,0.0,NON-OUTLIER
6873,FA,4000840,2,0.0,NON-OUTLIER
6874,FA,4002917,6,0.0,NON-OUTLIER
6875,FA,4003693,1,0.0,NON-OUTLIER
6877,FA,4003019,13,0.0,NON-OUTLIER
6885,FA,4000520,6,0.0,NON-OUTLIER
6878,FA,4000544,3,0.0,NON-OUTLIER
6879,FA,4003417,2,0.0,NON-OUTLIER
6880,FA,4000160,2,0.0,NON-OUTLIER
6881,FA,4002542,1,0.0,NON-OUTLIER
6882,FA,4003503,8,0.0,NON-OUTLIER
6883,FA,4002171,9,0.0,NON-OUTLIER
6884,FA,4002199,9,0.0,NON-OUTLIER
6906,FA,4003643,3,0.0,NON-OUTLIER
6907,FA,4001499,1,0.0,NON-OUTLIER
6908,FA,4003720,1,0.0,NON-OUTLIER
6937,FA,4001988,10,0.0,NON-OUTLIER
6930,FA,4002486,2,0.0,NON-OUTLIER
6931,FA,4003612,2,0.0,NON-OUTLIER
6932,FA,4003760,1,0.0,NON-OUTLIER
6933,FA,4001953,3,0.0,NON-OUTLIER
6934,FA,4002498,3,0.0,NON-OUTLIER
6935,FA,4001737,2,0.0,NON-OUTLIER
6936,FA,4001354,6,0.0,NON-OUTLIER
6938,FA,4003467,1,0.0,NON-OUTLIER
6928,FA,4003197,2,0.0,NON-OUTLIER
6939,FA,4003006,7,0.0,NON-OUTLIER
6940,FA,4003012,6,0.0,NON-OUTLIER
6941,FA,4002181,1,0.0,NON-OUTLIER
6942,FA,4003425,3,0.0,NON-OUTLIER
6943,FA,4000867,3,0.0,NON-OUTLIER
6944,FA,4003065,7,0.0,NON-OUTLIER
6945,FA,4000515,3,0.0,NON-OUTLIER
6929,FA,4002337,3,0.0,NON-OUTLIER
6927,FA,4000608,5,0.0,NON-OUTLIER
6909,FA,4000765,10,0.0,NON-OUTLIER
6917,FA,4001937,4,0.0,NON-OUTLIER
6910,FA,4003680,8,0.0,NON-OUTLIER
6911,FA,4002078,2,0.0,NON-OUTLIER
6912,FA,4001963,10,0.0,NON-OUTLIER
6913,FA,4003811,8,0.0,NON-OUTLIER
6914,FA,4003106,10,0.0,NON-OUTLIER
6915,FA,4002526,4,0.0,NON-OUTLIER
6916,FA,4002651,4,0.0,NON-OUTLIER
6918,FA,4002230,4,0.0,NON-OUTLIER
6926,FA,4000744,1,0.0,NON-OUTLIER
6919,FA,4003167,5,0.0,NON-OUTLIER
6920,FA,4000394,1,0.0,NON-OUTLIER
6921,FA,4002548,3,0.0,NON-OUTLIER
6922,FA,4001517,4,0.0,NON-OUTLIER
6923,FA,4002958,2,0.0,NON-OUTLIER
6924,FA,4003880,1,0.0,NON-OUTLIER
6925,FA,4003359,2,0.0,NON-OUTLIER
6868,FA,4003669,1,0.0,NON-OUTLIER
6866,FA,4001677,7,0.0,NON-OUTLIER
6947,FA,4002100,12,0.0,NON-OUTLIER
6865,FA,4003135,8,0.0,NON-OUTLIER
6808,FA,4003745,3,0.0,NON-OUTLIER
6809,FA,4003629,3,0.0,NON-OUTLIER
6810,FA,4001254,2,0.0,NON-OUTLIER
6811,FA,4003975,1,0.0,NON-OUTLIER
6812,FA,4001303,1,0.0,NON-OUTLIER
6813,FA,4003977,1,0.0,NON-OUTLIER
6814,FA,4003054,10,0.0,NON-OUTLIER
6815,FA,4003302,1,0.0,NON-OUTLIER
6816,FA,4002863,21,0.0,NON-OUTLIER
6817,FA,4003846,2,0.0,NON-OUTLIER
6818,FA,4002962,4,0.0,NON-OUTLIER
6819,FA,4001866,3,0.0,NON-OUTLIER
6820,FA,4000816,1,0.0,NON-OUTLIER
6821,FA,4003237,7,0.0,NON-OUTLIER
6822,FA,4003842,5,0.0,NON-OUTLIER
6823,FA,4003388,5,0.0,NON-OUTLIER
6824,FA,4001580,1,0.0,NON-OUTLIER
6807,FA,4002335,4,0.0,NON-OUTLIER
6806,FA,4001146,19,0.0,NON-OUTLIER
6805,FA,4000630,19,0.0,NON-OUTLIER
6795,FA,4002759,4,0.0,NON-OUTLIER
6788,FA,4000512,8,0.0,NON-OUTLIER
6789,FA,4000810,4,0.0,NON-OUTLIER
6790,FA,4001410,2,0.0,NON-OUTLIER
6791,FA,4000475,7,0.0,NON-OUTLIER
6792,FA,4003881,6,0.0,NON-OUTLIER
6793,FA,4001748,3,0.0,NON-OUTLIER
6794,FA,4000812,9,0.0,NON-OUTLIER
6796,FA,4001161,5,0.0,NON-OUTLIER
6804,FA,4003543,1,0.0,NON-OUTLIER
6797,FA,4000896,14,0.0,NON-OUTLIER
6798,FA,4002715,2,0.0,NON-OUTLIER
6799,FA,4000796,4,0.0,NON-OUTLIER
6800,FA,4000659,1,0.0,NON-OUTLIER
6801,FA,4001982,2,0.0,NON-OUTLIER
6802,FA,4000959,10,0.0,NON-OUTLIER
6803,FA,4002850,2,0.0,NON-OUTLIER
6825,FA,4001118,6,0.0,NON-OUTLIER
6826,FA,4001334,6,0.0,NON-OUTLIER
6827,FA,4000987,4,0.0,NON-OUTLIER
6856,FA,4000566,3,0.0,NON-OUTLIER
6849,FA,4001642,1,0.0,NON-OUTLIER
6850,FA,4000965,5,0.0,NON-OUTLIER
6851,FA,4001125,22,0.0,NON-OUTLIER
6852,FA,4003700,1,0.0,NON-OUTLIER
6853,FA,4003398,1,0.0,NON-OUTLIER
6854,FA,4000883,6,0.0,NON-OUTLIER
6855,FA,4002207,4,0.0,NON-OUTLIER
6857,FA,4002669,5,0.0,NON-OUTLIER
6847,FA,4003878,1,0.0,NON-OUTLIER
