,acc_ankh_FA_1239.csv,acc_ankh_TP_36900.csv,acc_ankh_CL_34873.csv,acc_ankh_SF_1804.csv,acc_ankh_CF_4154.csv
accuracy_score,-0.456413749592931,0.3292029580230133,-0.9416785558352544,-0.5774514964870818,-0.8108696561726297
precision_score,-0.45637118302674484,-0.3732954518707791,-0.9545217359169885,-0.5821768650236966,-0.7784382512001654
recall_score,-0.456413749592931,0.3292029580230133,-0.9416785558352544,-0.5774514964870818,-0.8108696561726297
f1_score,-0.45635763886460545,-0.2469018982298824,-0.9511079602565906,-0.57744296924477,-0.7959648574356964
