,layer,silhouette_score
0,0,0.3377937289043072
1,1,0.9940703089632827
2,2,0.9891251899394731
3,3,0.9974029323717223
4,4,0.9921828033180505
5,5,0.9946530827633886
6,6,0.9964065495451825
7,7,0.9993259367864747
8,8,0.9994263386036549
9,9,0.9994504485687826
10,10,0.9842362124724731
11,11,0.9995152183183751
12,12,0.9994238854033832
13,13,0.9991961405981953
14,14,0.9998203424223572
15,15,0.9998306172153274
16,16,0.9998701216472662
17,17,0.9999497660847423
18,18,0.9998983821965972
19,19,0.9999321826731831
20,20,0.9999416588720855
21,21,0.9998801745968097
22,22,0.9999560611582645
23,23,0.9998884777342387
24,24,0.9999374440985815
25,25,0.9999365416642207
26,26,0.9999090583521941
27,27,0.9999521102757742
28,28,0.9999146229768598
29,29,0.9999500665884897
30,30,0.9999407301147211
31,31,0.9999533726898785
32,32,0.9998786548251629
33,33,0.9999096758295779
34,34,0.9999424487283737
35,35,0.999942571916367
36,36,0.9999558058364245
37,37,0.9999411351605575
38,38,0.9998207837698178
39,39,0.9999388091536106
40,40,0.9999503066152937
41,41,0.9999546729709372
42,42,0.9998936438372813
43,43,0.9999352674999947
44,44,0.9999266952331248
45,45,0.9999340053293786
46,46,0.9999560150910535
47,47,0.999894657613772
48,48,0.9999193909545819
