,layer,silhouette_score
0,0,0.025240115641610095
1,1,0.7710906300788704
2,2,0.778338455903807
3,3,0.6613372310462144
4,4,0.6336833329659048
5,5,0.651141616119558
6,6,0.6084819464205714
7,7,0.5745507276042621
8,8,0.5860204291355172
9,9,0.6023909701930641
10,10,0.5846322895969119
11,11,0.6101653489336502
12,12,0.6154414407580718
13,13,0.6060157377699185
14,14,0.6202118182850257
15,15,0.6266222480745329
16,16,0.6216910562532147
17,17,0.6284030347606647
18,18,0.6160032263165843
19,19,0.6197466625344835
20,20,0.6227636397016537
21,21,0.6246792712888278
22,22,0.657884696541215
23,23,0.6866049073395999
24,24,0.7187967329105489
25,25,0.7121126185303649
26,26,0.7082271278953964
27,27,0.714501134467795
28,28,0.7043311372278012
29,29,0.7175342650117386
30,30,0.707802880277978
31,31,0.7050470048153107
32,32,0.6868188041747889
33,33,0.6832345278497645
34,34,0.6758498012012812
35,35,0.6843304558900755
36,36,0.6819316084240611
37,37,0.6810345882508883
38,38,0.6895238429686155
39,39,0.6840012235360016
40,40,0.6880442078500768
41,41,0.6819467507705472
42,42,0.6781843935636322
43,43,0.664456021732642
44,44,0.6732848032589892
45,45,0.6858781636385811
46,46,0.708675514885277
47,47,0.7167228729424286
48,48,0.7090782518935649
