,layer,silhouette_score
0,0,0.0076840029668602495
1,1,0.22207141970083502
2,2,0.2656570880190167
3,3,0.2942122351114474
4,4,0.3141847778697929
5,5,0.3308244464959822
6,6,0.3559900379297969
7,7,0.36750785129086
8,8,0.37391308860012407
9,9,0.37701634219608454
10,10,0.38967209197434005
11,11,0.40655788862253456
12,12,0.42830272855907614
13,13,0.44994548969092907
14,14,0.4673692401530265
15,15,0.49019697551675523
16,16,0.5149448043390419
17,17,0.5251712650584037
18,18,0.5443565569168365
19,19,0.5667824003091408
20,20,0.5795713475464734
21,21,0.5851370097927487
22,22,0.6140490101570861
23,23,0.6397561480011259
24,24,0.6468262565525006
25,25,0.6613577616814659
26,26,0.6656542814276273
27,27,0.6716168237571686
28,28,0.673143131555947
29,29,0.6737814374957701
30,30,0.6755880453095608
31,31,0.6758029459958905
32,32,0.6736712918126334
33,33,0.6758262655760588
34,34,0.6747846341766337
35,35,0.6756699142105158
36,36,0.6745411480755076
37,37,0.6703904464745193
38,38,0.66980421327634
39,39,0.6663383187805877
40,40,0.6639974882381156
41,41,0.6619623630351483
42,42,0.6598041016175004
43,43,0.6564925225010475
44,44,0.6550676237184352
45,45,0.6499320578129206
46,46,0.6424052727923967
47,47,0.6263869174134746
48,48,0.599512800880983
