,layer,silhouette_score
0,0,0.844673988321198
1,1,0.5584131440130695
2,2,0.715873780299484
3,3,0.571439276990358
4,4,0.4923600842677714
5,5,0.8167212406118816
6,6,0.6741398690462249
7,7,0.7594739105129533
8,8,0.7798407150579416
9,9,0.767618423936802
10,10,0.6342016971990915
11,11,0.82083770171262
12,12,0.8291832130523882
13,13,0.7910876144895381
14,14,0.6914955656636438
15,15,0.8236189045475778
16,16,0.7957864884583239
17,17,0.8268317211376182
18,18,0.8128544047873664
19,19,0.6913324769251988
20,20,0.8130678479160011
21,21,0.5722107396031838
22,22,0.7831700838487285
23,23,0.5258253460972566
24,24,0.5902683294733118
25,25,0.5765532707954576
26,26,0.5573007075213667
27,27,0.5023283469706273
28,28,0.48039019081941486
29,29,0.4371889567704345
30,30,0.7212106738032199
31,31,0.7834480460803502
32,32,0.5492002171378918
33,33,0.7628903471909781
34,34,0.7591519366990352
35,35,0.7176855931873616
36,36,0.7103330488863356
