,layer,silhouette_score
0,0,-0.02465103846091684
1,1,0.6225257125224184
2,2,0.6533757911391884
3,3,0.6913799005472435
4,4,0.7476456125660478
5,5,0.796114768984497
6,6,0.8195383081457621
7,7,0.8395097101812574
8,8,0.8319413706658699
9,9,0.804315827608352
10,10,0.7410720407811219
11,11,0.7100751473226614
12,12,0.694026203967905
13,13,0.667971950752837
14,14,0.6907278090346185
15,15,0.6938631706918091
16,16,0.6889707496555542
17,17,0.711407265205531
18,18,0.7044103378309974
19,19,0.7074688430805082
20,20,0.7142819492875727
21,21,0.7081453854253701
22,22,0.7150405540139069
23,23,0.73949938020566
24,24,0.7181437986122586
25,25,0.7294706522562587
26,26,0.7420658270092511
27,27,0.7506235308278145
28,28,0.7350636339311059
29,29,0.7355380829573188
30,30,0.7467177832001946
31,31,0.7553570007689735
32,32,0.763234331917146
33,33,0.7574511204481342
34,34,0.7581801804647526
35,35,0.7622791255948052
36,36,0.7645516822774997
37,37,0.766496469942888
38,38,0.7691827576807945
39,39,0.7672186006568279
40,40,0.7708020371229344
41,41,0.772677309715784
42,42,0.7745136042549342
43,43,0.7773924671408732
44,44,0.7674105515345149
45,45,0.7726047752838135
46,46,0.780076815789572
47,47,0.785412730773384
48,48,0.7748781356164518
