,layer,silhouette_score
0,0,0.046095353782021696
1,1,0.1650044735061937
2,2,0.17705698551396887
3,3,0.2091645532843785
4,4,0.27445204903897924
5,5,0.31481168308273766
6,6,0.3557146891596715
7,7,0.38998396385281237
8,8,0.4175022562392259
9,9,0.4372086226343459
10,10,0.47046928917934705
11,11,0.507707100482515
12,12,0.5333546495668819
13,13,0.557504446077807
14,14,0.5765617605336022
15,15,0.5998919013866049
16,16,0.6271863330918619
17,17,0.6670222647229863
18,18,0.6905538656077214
19,19,0.7176702353059801
20,20,0.7274066104621218
21,21,0.7435779508636208
22,22,0.7516848343104698
23,23,0.7640711713255117
24,24,0.7732391725195564
25,25,0.7797416099544777
26,26,0.7853930077146912
27,27,0.7851768579111575
28,28,0.785914503362362
29,29,0.7879059827064748
30,30,0.7891380264521678
31,31,0.7909307542650603
32,32,0.793217697038842
33,33,0.7915868453452524
34,34,0.7945459626407458
35,35,0.7929638429485006
36,36,0.7909201313879775
37,37,0.7907345211424097
38,38,0.7927338849608484
39,39,0.7915484433583682
40,40,0.7884399078509617
41,41,0.7866967002614136
42,42,0.7841662767737706
43,43,0.7816440651640586
44,44,0.7770891811685033
45,45,0.7742112732679366
46,46,0.7692958635879347
47,47,0.7656459571722108
48,48,0.7654363399829213
