,layer,silhouette_score
0,0,0.492581938140546
1,1,0.7492264878086056
2,2,0.8318961381298755
3,3,0.8532635734556169
4,4,0.8711000037014806
5,5,0.9185065995507711
6,6,0.9032361557388667
7,7,0.9245086130944574
8,8,0.8111412080618225
9,9,0.925193694015904
10,10,0.9085564544096786
11,11,0.939562801035774
12,12,0.9516594481631575
13,13,0.9688904238809718
14,14,0.9372344886417796
15,15,0.977175923357348
16,16,0.9825591067856534
17,17,0.9869013480433287
18,18,0.9525951148851409
19,19,0.989069073522143
20,20,0.9868314499089397
21,21,0.9923159465081116
22,22,0.9913971769964748
23,23,0.9899680064768848
24,24,0.9916185226910842
25,25,0.9931797071538145
26,26,0.9941822168477756
27,27,0.9924579554127436
28,28,0.9924458765480857
29,29,0.9892641440989558
30,30,0.9636225997542187
31,31,0.9925305267834661
32,32,0.9892409587534603
33,33,0.9826189215974545
34,34,0.9875558076767598
35,35,0.9773296738515524
36,36,0.9914505422944614
37,37,0.989793807211143
38,38,0.9795604313305298
39,39,0.9869971459692423
40,40,0.9822762763516321
41,41,0.9860266801658539
42,42,0.9898111624899691
43,43,0.9913197236094046
44,44,0.9885595143175967
45,45,0.9873256226167667
46,46,0.9862192043020701
47,47,0.966475575135952
48,48,0.971944338928378
