,layer,silhouette_score
0,0,0.46049970947562824
1,1,0.5208707176690185
2,2,0.5229552137579708
3,3,0.527614008783549
4,4,0.5331721535789141
5,5,0.5219427282139192
6,6,0.5141584723237382
7,7,0.5135595871893613
8,8,0.5157380480569618
9,9,0.5146288927860341
10,10,0.5091968404891448
11,11,0.5082830192063624
12,12,0.5142651685295198
13,13,0.5091495831942254
14,14,0.5026421210624783
15,15,0.5002160062120967
16,16,0.4988481602926261
17,17,0.4907802185819136
18,18,0.48348278725211186
19,19,0.47729140157417954
20,20,0.4640171816531443
21,21,0.451671615561523
22,22,0.4431429081875965
23,23,0.44083549295093655
24,24,0.44608772432395694
25,25,0.4464261043595013
26,26,0.43575886057478813
27,27,0.4360960576275624
28,28,0.43633048481069675
29,29,0.427995356352967
30,30,0.43750194530697384
31,31,0.429342837568676
32,32,0.42925268815731354
33,33,0.42671393311022393
34,34,0.42758012394549355
35,35,0.4239245058476713
36,36,0.43334092068963925
